latitude,longitude
41.988919,-87.880101
41.993919,-87.880101
41.973919,-87.875101
41.978919,-87.875101
41.973919,-87.870101
41.973919,-87.860101
41.948919,-87.855101
41.958919,-87.855101
41.963919,-87.855101
41.973919,-87.855101
41.978919,-87.855101
41.983919,-87.855101
41.938919,-87.850101
41.943919,-87.850101
41.948919,-87.850101
41.958919,-87.850101
41.963919,-87.850101
41.968919,-87.850101
41.973919,-87.850101
41.978919,-87.850101
41.983919,-87.850101
41.938919,-87.845101
41.943919,-87.845101
41.948919,-87.845101
41.953919,-87.845101
41.958919,-87.845101
41.963919,-87.845101
41.973919,-87.845101
41.978919,-87.845101
41.983919,-87.845101
41.938919,-87.840101
41.943919,-87.840101
41.948919,-87.840101
41.953919,-87.840101
41.958919,-87.840101
41.963919,-87.840101
41.978919,-87.840101
41.983919,-87.840101
41.938919,-87.835101
41.943919,-87.835101
41.948919,-87.835101
41.953919,-87.835101
41.958919,-87.835101
41.978919,-87.835101
41.983919,-87.835101
41.938919,-87.830101
41.943919,-87.830101
41.948919,-87.830101
41.973919,-87.830101
41.978919,-87.830101
41.983919,-87.830101
41.938919,-87.825101
41.943919,-87.825101
41.948919,-87.825101
41.983919,-87.825101
41.938919,-87.820101
41.943919,-87.820101
41.948919,-87.820101
41.978919,-87.820101
41.983919,-87.820101
41.988919,-87.820101
41.993919,-87.820101
41.998919,-87.820101
42.003919,-87.820101
42.008919,-87.820101
41.938919,-87.815101
41.943919,-87.815101
41.948919,-87.815101
41.978919,-87.815101
41.983919,-87.815101
41.988919,-87.815101
41.993919,-87.815101
41.998919,-87.815101
42.003919,-87.815101
42.008919,-87.815101
42.013919,-87.815101
41.938919,-87.810101
41.943919,-87.810101
41.948919,-87.810101
41.978919,-87.810101
41.983919,-87.810101
41.988919,-87.810101
41.993919,-87.810101
41.998919,-87.810101
42.003919,-87.810101
42.008919,-87.810101
42.013919,-87.810101
41.908919,-87.805101
41.913919,-87.805101
41.918919,-87.805101
41.923919,-87.805101
41.928919,-87.805101
41.933919,-87.805101
41.938919,-87.805101
41.943919,-87.805101
41.948919,-87.805101
41.953919,-87.805101
41.968919,-87.805101
41.973919,-87.805101
41.978919,-87.805101
41.983919,-87.805101
41.988919,-87.805101
41.993919,-87.805101
41.998919,-87.805101
41.773919,-87.800101
41.778919,-87.800101
41.783919,-87.800101
41.788919,-87.800101
41.793919,-87.800101
41.913919,-87.800101
41.918919,-87.800101
41.923919,-87.800101
41.928919,-87.800101
41.933919,-87.800101
41.938919,-87.800101
41.943919,-87.800101
41.948919,-87.800101
41.953919,-87.800101
41.968919,-87.800101
41.973919,-87.800101
41.978919,-87.800101
41.983919,-87.800101
41.988919,-87.800101
41.993919,-87.800101
41.998919,-87.800101
41.773919,-87.795101
41.778919,-87.795101
41.783919,-87.795101
41.788919,-87.795101
41.793919,-87.795101
41.798919,-87.795101
41.913919,-87.795101
41.918919,-87.795101
41.923919,-87.795101
41.928919,-87.795101
41.933919,-87.795101
41.938919,-87.795101
41.943919,-87.795101
41.948919,-87.795101
41.953919,-87.795101
41.958919,-87.795101
41.968919,-87.795101
41.973919,-87.795101
41.978919,-87.795101
41.983919,-87.795101
41.988919,-87.795101
41.993919,-87.795101
41.998919,-87.795101
41.773919,-87.790101
41.778919,-87.790101
41.783919,-87.790101
41.788919,-87.790101
41.793919,-87.790101
41.798919,-87.790101
41.913919,-87.790101
41.918919,-87.790101
41.923919,-87.790101
41.928919,-87.790101
41.933919,-87.790101
41.938919,-87.790101
41.943919,-87.790101
41.948919,-87.790101
41.953919,-87.790101
41.958919,-87.790101
41.968919,-87.790101
41.973919,-87.790101
41.978919,-87.790101
41.983919,-87.790101
41.988919,-87.790101
41.993919,-87.790101
41.998919,-87.790101
41.778919,-87.785101
41.783919,-87.785101
41.788919,-87.785101
41.793919,-87.785101
41.798919,-87.785101
41.913919,-87.785101
41.918919,-87.785101
41.923919,-87.785101
41.928919,-87.785101
41.933919,-87.785101
41.938919,-87.785101
41.943919,-87.785101
41.948919,-87.785101
41.953919,-87.785101
41.958919,-87.785101
41.963919,-87.785101
41.968919,-87.785101
41.973919,-87.785101
41.978919,-87.785101
41.983919,-87.785101
41.988919,-87.785101
41.993919,-87.785101
41.998919,-87.785101
42.008919,-87.785101
41.778919,-87.780101
41.783919,-87.780101
41.788919,-87.780101
41.793919,-87.780101
41.798919,-87.780101
41.913919,-87.780101
41.918919,-87.780101
41.923919,-87.780101
41.928919,-87.780101
41.933919,-87.780101
41.938919,-87.780101
41.943919,-87.780101
41.948919,-87.780101
41.953919,-87.780101
41.958919,-87.780101
41.963919,-87.780101
41.968919,-87.780101
41.973919,-87.780101
41.978919,-87.780101
41.983919,-87.780101
41.988919,-87.780101
41.993919,-87.780101
41.998919,-87.780101
42.003919,-87.780101
42.008919,-87.780101
41.778919,-87.775101
41.783919,-87.775101
41.788919,-87.775101
41.793919,-87.775101
41.798919,-87.775101
41.893919,-87.775101
41.898919,-87.775101
41.903919,-87.775101
41.908919,-87.775101
41.913919,-87.775101
41.918919,-87.775101
41.923919,-87.775101
41.928919,-87.775101
41.933919,-87.775101
41.938919,-87.775101
41.943919,-87.775101
41.948919,-87.775101
41.953919,-87.775101
41.958919,-87.775101
41.963919,-87.775101
