latitude,longitude,weight,type
41.79892,-87.7901,1021,trauma
41.91392,-87.7901,1109,trauma
41.91892,-87.7901,1112,trauma
41.92392,-87.7901,1265,trauma
41.92892,-87.7901,1238,trauma
41.93392,-87.7901,1324,trauma
41.93892,-87.7901,1408,trauma
41.94392,-87.7901,1445,trauma
41.94892,-87.7901,1353,trauma
41.95392,-87.7901,1422,trauma
41.95892,-87.7901,1398,trauma
41.96892,-87.7901,1325,trauma
41.97392,-87.7901,1241,trauma
41.97892,-87.7901,1265,trauma
41.98392,-87.7901,1283,trauma
41.98892,-87.7901,1323,trauma
41.99392,-87.7901,1390,trauma
41.99892,-87.7901,1435,trauma
41.77892,-87.7851,1172,trauma
41.78392,-87.7851,1140,trauma
41.78892,-87.7851,1084,trauma
41.79392,-87.7851,1030,trauma
41.79892,-87.7851,1045,trauma
41.91392,-87.7851,1012,trauma
41.91892,-87.7851,1072,trauma
41.92392,-87.7851,1127,trauma
41.92892,-87.7851,1229,trauma
41.93392,-87.7851,1311,trauma
41.93892,-87.7851,1358,trauma
41.94392,-87.7851,1404,trauma
41.94892,-87.7851,1364,trauma
41.95392,-87.7851,1311,trauma
41.95892,-87.7851,1336,trauma
41.96392,-87.7851,1325,trauma
41.96892,-87.7851,1291,trauma
41.97392,-87.7851,1240,trauma
41.97892,-87.7851,1232,trauma
41.98392,-87.7851,1258,trauma
41.98892,-87.7851,1342,trauma
41.99392,-87.7851,1342,trauma
41.99892,-87.7851,1410,trauma
42.00892,-87.7851,1472,trauma
41.77892,-87.7801,1208,trauma
41.78392,-87.7801,1145,trauma
41.78892,-87.7801,1105,trauma
41.79392,-87.7801,1013,trauma
41.79892,-87.7801,948,trauma
41.91392,-87.7801,1010,trauma
41.91892,-87.7801,1039,trauma
41.92392,-87.7801,1138,trauma
41.92892,-87.7801,1170,trauma
41.93392,-87.7801,1256,trauma
41.93892,-87.7801,1326,trauma
41.94392,-87.7801,1408,trauma
41.94892,-87.7801,1334,trauma
41.95392,-87.7801,1310,trauma
41.95892,-87.7801,1276,trauma
41.96392,-87.7801,1284,trauma
41.96892,-87.7801,1205,trauma
41.97392,-87.7801,1182,trauma
41.97892,-87.7801,1228,trauma
41.98392,-87.7801,1296,trauma
41.98892,-87.7801,1288,trauma
41.99392,-87.7801,1425,trauma
41.99892,-87.7801,1298,trauma
42.00392,-87.7801,1448,trauma
