Name,Address,Date,Time,Neighborhood,Age,Gender,Race,Latitude,Longitude
411,"4500 S. Halsted St., Chicago, IL",11/21/2012,9:55 a.m.,New City,19,Male,White,41.813029,-87.646375
412,"5500 S. Albany Ave., Chicago, IL",11/22/2012,12:59 p.m.,Gage Park,25,Male,Black,41.7935373,-87.7011292
413,"4900 S. Seeley Ave., Chicago, IL",11/22/2012,2:15 p.m.,New City,19,Male,Black,41.8048518,-87.6758344
414,"2300 W. Lake St., Chicago, IL",11/25/2012,8:04 a.m.,Near West Side,34,Male,Black,41.8847209,-87.6840776
415,"5500 S. Emerald Ave., Chicago, IL",11/25/2012,8:47 p.m.,Englewood,25,Male,Black,41.7939486,-87.6439534
416,"300 E. 71st St., Chicago, IL",11/26/2012,1 p.m.,Greater Grand Crossing,21,Male,Black,41.7656488,-87.6184376
417,"300 E. 71st St., Chicago, IL",11/26/2012,1 p.m.,Greater Grand Crossing,27,Male,,41.7656488,-87.6184376
418,"4300 W. Van Buren St., Chicago, IL",11/26/2012,5:01 p.m.,West Garfield Park,43,Male,Black,41.8751816,-87.7328492
419,"6900 S. Campbell Ave., Chicago, IL",11/26/2012,9:19 p.m.,Chicago Lawn,15,Female,Black,41.7680279,-87.6859704
420,"6800 S. Ridgeland Ave., Chicago, IL",11/28/2012,10:46 p.m.,South Shore,22,Male,Black,41.771375,-87.582934
421,"6100 S. Morgan St., Chicago, IL",11/30/2012,11:09 p.m.,Englewood,33,Male,Black,41.783309,-87.6497673
422,"5000 N. Winthrop Ave., Chicago, IL",11/30/2012,11:50 p.m.,Uptown,46,Male,Black,41.9732986,-87.6577513
423,"8200 S. Dobson Ave., Chicago, IL",11/30/2012,7:15 p.m.,Chatham,32,Male,Black,41.7458433,-87.5989591
424,"4200 S. Wells St., Chicago, IL",11/30/2012,6:36 p.m.,Fuller Park,30,Male,Black,41.818091,-87.632729
425,"200 W. 37th St., Chicago, IL",12/1/2012,2:52 a.m.,Armour Square,29,Male,Black,41.8272922,-87.6314041
426,"4800 W. Fulton St., Chicago, IL",12/1/2012,3 p.m.,Austin,23,Female,White,41.886005,-87.745783
427,"6600 S. Blackstone Ave., Chicago, IL",12/2/2012,5:45 p.m.,Woodlawn,53,Male,Black,41.7751254,-87.5888478
428,"6400 S. Eberhart Ave., Chicago, IL",12/3/2012,7:49 a.m.,Woodlawn,23,Female,White,41.7784293,-87.6131917
429,"1100 N. Harding Ave., Chicago, IL",12/9/2012,6:40 p.m.,Humboldt Park,16,Male,Black,41.900989,-87.725373
