"81","1500 W. 91st St., Chicago, IL","41.7285571","-87.6604205"
"82","1600 W. 72nd St., Chicago, IL","41.7630938","-87.663794"
"83","700 W. 61st St., Chicago, IL","41.78356","-87.642735"
"84","2800 S. Kildare Ave., Chicago, IL","41.840336","-87.732076"
"85","5500 S. Bishop St., Chicago, IL","41.79368","-87.6609455"
"86","500 W. 75th St., Chicago, IL","41.7580533","-87.6369469"
"87","13300 S. Indiana Ave., Chicago, IL","41.653046","-87.618315"
"88","6200 S. Honore St., Chicago, IL","41.7811842","-87.6703337"
"89","4200 W. Cortland St., Chicago, IL","41.9153132","-87.7313735"
"90","2200 N. Lavergne Ave., Chicago, IL","41.92065","-87.751464"
"91","5900 S. Halsted St., Chicago, IL","41.786829","-87.6453219"
"92","1400 W. 73rd St., Chicago, IL","41.761593","-87.659029"
"93","1400 E. 75th St., Chicago, IL","41.758965","-87.590635"
"94","6300 S. Evans Ave., Chicago, IL","41.7803591","-87.6072079"
"95","6300 S. Evans Ave., Chicago, IL","41.7803591","-87.6072079"
"96","6300 S. Evans Ave., Chicago, IL","41.7803591","-87.6072079"
"97","1400 W. 79th St., Chicago, IL","41.750716","-87.65889"
"98","1 W. 113th Pl., Chicago, IL","41.6880243","-87.6229893"
"99","2600 S. Tripp Ave., Chicago, IL","41.8441475","-87.7306582"
"100","6100 S. Washtenaw Ave., Chicago, IL","41.782672","-87.691398"
"101","6400 S. Francisco Ave., Chicago, IL","41.777085","-87.696121"
"102","6800 N. Ashland Ave., Chicago, IL","42.0053874","-87.6699751"
"103","800 E. 81st St., Chicago, IL","41.7476402","-87.605048"
"104","4000 S. Albany Ave., Chicago, IL","41.820704","-87.702299"
"105","700 S. Francisco Ave., Chicago, IL","41.8728396","-87.6985446"
"106","4600 S. Spaulding Ave., Chicago, IL","41.80977","-87.706794"
"107","300 W. 108th St., Chicago, IL","41.6979769","-87.6304715"
"108","4900 W. Grace St., Chicago, IL","41.949998","-87.749949"
"109","600 W. 115th St., Chicago, IL","41.6851549","-87.6373269"
"110","6400 S. Langley Ave., Chicago, IL","41.778421","-87.608696"
"111","1100 W. 69th St., Chicago, IL","41.7687312","-87.6518047"
"112","3900 W. 19th St., Chicago, IL","41.8551718","-87.722697"
"113","9600 S. Carpenter St., Chicago, IL","41.7191199","-87.649484"
"114","1300 S. Springfield Ave., Chicago, IL","41.8643492","-87.7226954"
"115","1000 N. Waller Ave., Chicago, IL","41.898592","-87.7682899"
"116","2900 W. Arthington St., Chicago, IL","41.8701257","-87.6984676"
"117","5800 S. Shields Ave., Chicago, IL","41.7882932","-87.6340465"
"118","4500 W. Jackson Blvd., Chicago, IL","41.8769479","-87.7378068"
"119","600 E. 45th St., Chicago, IL","41.8131033","-87.6115306"
"120","1200 N. Artesian Ave., Chicago, IL","41.9030022","-87.6882675"
"121","700 E. 87th Pl., Chicago, IL","41.73596","-87.607061"
"122","1900 W. 48th St., Chicago, IL","41.806966","-87.672376"
"123","1400 N. Keeler Ave., Chicago, IL","41.9062332","-87.7313152"
"124","2400 W. 34th Pl., Chicago, IL","41.8311859","-87.6850778"
"125","2300 W. Grenshaw St., Chicago, IL","41.8675492","-87.6848382"
"126","1400 W. 72nd Pl., Chicago, IL","41.762502","-87.659056"
"127","7900 S. Campbell Ave., Chicago, IL","41.7500136","-87.6853069"
"128","9000 S. Western Ave., Chicago, IL","41.7301654","-87.6824443"
"129","6300 S. St. Lawrence Ave., Chicago, IL","41.7803076","-87.6108266"
"130","5200 W. Kinzie St., Chicago, IL","41.8878192","-87.7553241"
"131","3600 S. California Ave., Chicago, IL","41.8282461","-87.6947949"
"132","400 N. Lawler Ave., Chicago, IL","41.887957","-87.752015"
