latitude,longitude,weight,type
41.92892,-87.7901,1238,potential
41.93392,-87.7901,1324,potential
41.93892,-87.7901,1408,potential
41.94392,-87.7901,1445,potential
41.94892,-87.7901,1353,potential
41.95392,-87.7901,1422,potential
41.95892,-87.7901,1398,potential
41.96892,-87.7901,1325,potential
41.97392,-87.7901,1241,potential
41.97892,-87.7901,1265,potential
41.98392,-87.7901,1283,potential
41.98892,-87.7901,1323,potential
41.99392,-87.7901,1390,potential
41.99892,-87.7901,1435,potential
41.77892,-87.7851,1172,potential
41.78392,-87.7851,1140,potential
41.78892,-87.7851,1084,potential
41.79392,-87.7851,1030,potential
41.79892,-87.7851,1045,potential
41.91392,-87.7851,1012,potential
41.91892,-87.7851,1072,potential
41.92392,-87.7851,1127,potential
41.92892,-87.7851,1229,potential
41.93392,-87.7851,1311,potential
41.93892,-87.7851,1358,potential
41.94392,-87.7851,1404,potential
41.94892,-87.7851,1364,potential
41.95392,-87.7851,1311,potential
41.95892,-87.7851,1336,potential
41.96392,-87.7851,1325,potential
41.96892,-87.7851,1291,potential
41.97392,-87.7851,1240,potential
41.97892,-87.7851,1232,potential
41.98392,-87.7851,1258,potential
41.98892,-87.7851,1342,potential
41.99392,-87.7851,1342,potential
41.99892,-87.7851,1410,potential
42.00892,-87.7851,1472,potential
41.77892,-87.7801,1208,potential
41.78392,-87.7801,1145,potential
41.78892,-87.7801,1105,potential
41.79392,-87.7801,1013,potential
41.79892,-87.7801,948,potential
41.91392,-87.7801,1010,potential
41.91892,-87.7801,1039,potential
41.92392,-87.7801,1138,potential
41.92892,-87.7801,1170,potential
41.93392,-87.7801,1256,potential
41.93892,-87.7801,1326,potential
41.94392,-87.7801,1408,potential
41.94892,-87.7801,1334,potential
41.95392,-87.7801,1310,potential
41.95892,-87.7801,1276,potential
41.96392,-87.7801,1284,potential
41.96892,-87.7801,1205,potential
41.97392,-87.7801,1182,potential
41.97892,-87.7801,1228,potential
41.98392,-87.7801,1296,potential
41.98892,-87.7801,1288,potential
41.99392,-87.7801,1425,potential
41.99892,-87.7801,1298,potential
42.00392,-87.7801,1448,potential
42.00892,-87.7801,1514,potential
41.77892,-87.7751,1201,potential
41.78392,-87.7751,1112,potential
41.78892,-87.7751,1029,potential
41.79392,-87.7751,942,potential
41.79892,-87.7751,910,potential
41.89392,-87.7751,702,potential
41.89892,-87.7751,762,potential
41.90392,-87.7751,849,potential
41.90892,-87.7751,900,potential
41.91392,-87.7751,938,potential
41.91892,-87.7751,1034,potential
41.92392,-87.7751,1058,potential
41.92892,-87.7751,1134,potential
41.93392,-87.7751,1215,potential
41.93892,-87.7751,1268,potential
